"Time","Visit Japan"
"2018-12-01",6
"2019-01-01",4
"2019-02-01",5
"2019-03-01",4
"2019-04-01",7
"2019-05-01",7
"2019-06-01",6
"2019-07-01",5
"2019-08-01",5
"2019-09-01",6
"2019-10-01",7
"2019-11-01",7
"2019-12-01",6
"2020-01-01",5
"2020-02-01",5
"2020-03-01",3
"2020-04-01",1
"2020-05-01",2
"2020-06-01",2
"2020-07-01",2
"2020-08-01",3
"2020-09-01",2
"2020-10-01",3
"2020-11-01",3
"2020-12-01",3
"2021-01-01",2
"2021-02-01",2
"2021-03-01",2
"2021-04-01",3
"2021-05-01",2
"2021-06-01",2
"2021-07-01",2
"2021-08-01",2
"2021-09-01",2
"2021-10-01",2
"2021-11-01",3
"2021-12-01",3
"2022-01-01",2
"2022-02-01",3
"2022-03-01",4
"2022-04-01",4
"2022-05-01",5
"2022-06-01",5
"2022-07-01",5
"2022-08-01",6
"2022-09-01",6
"2022-10-01",12
"2022-11-01",64
"2022-12-01",66
"2023-01-01",67
"2023-02-01",89
"2023-03-01",100
"2023-04-01",81
"2023-05-01",41
"2023-06-01",35
"2023-07-01",35
"2023-08-01",32
"2023-09-01",34
"2023-10-01",34
"2023-11-01",34
"2023-12-01",30
"2024-01-01",27
"2024-02-01",31
"2024-03-01",35
"2024-04-01",32
"2024-05-01",35
"2024-06-01",33
"2024-07-01",31
"2024-08-01",32
"2024-09-01",35
"2024-10-01",43
"2024-11-01",38
"2024-12-01",34
"2025-01-01",32
"2025-02-01",34
"2025-03-01",39
"2025-04-01",41
"2025-05-01",38
"2025-06-01",34
"2025-07-01",32
"2025-08-01",36
"2025-09-01",45
"2025-10-01",43
"2025-11-01",51
"2025-12-01",51
"2026-01-01",55
"2026-02-01",59